Census Tract,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X1*X5,X4*X5,X5*X6,X5*X8
1,158347,0.00632,18,2.31,0,5.38,6.575,65.2,1.40854,0,296,15.3,4.98,0.0340016,0,35.3735,7.5779452
2,174521,0.02731,0,7.07,0,4.69,6.421,78.9,1.60283,0.69315,242,17.8,9.14,0.1280839,0,30.11449,7.5172727
3,218497,0.0273,0,7.07,0,4.69,7.185,61.1,1.60283,0.69315,242,17.8,4.01,0.128037,0,33.69765,7.5172727
5,203425,0.06905,0,2.18,0,4.58,7.147,54.2,1.80207,1.09861,222,18.7,5.33,0.316249,0,32.73326,8.2534806
6,165284,0.02985,0,2.18,0,4.58,6.43,58.7,1.80207,1.09861,222,18.7,5.21,0.136713,0,29.4494,8.2534806
7,216533,0.08829,13,7.87,0,5.24,6.012,66.6,1.71569,1.60944,311,15.2,12.43,0.4626396,0,31.50288,8.9902156
8,121727,0.14455,13,7.87,0,5.24,6.172,96.1,1.78347,1.60944,311,15.2,19.15,0.757442,0,32.34128,9.3453828
9,141576,0.21124,13,7.87,0,5.24,5.631,100,1.80535,1.60944,311,15.2,29.93,1.1068976,0,29.50644,9.460034
10,136074,0.17004,13,7.87,0,5.24,6.004,85.9,1.88587,1.60944,311,15.2,17.1,0.8910096,0,31.46096,9.8819588
11,104191,0.22489,13,7.87,0,5.24,6.377,94.3,1.84793,1.60944,311,15.2,20.45,1.1784236,0,33.41548,9.6831532
12,160469,0.11747,13,7.87,0,5.24,6.009,82.9,1.82885,1.60944,311,15.2,13.27,0.6155428,0,31.48716,9.583174
13,125201,0.09378,13,7.87,0,5.24,5.889,39,1.69578,1.60944,311,15.2,15.71,0.4914072,0,30.85836,8.8858872
14,136912,0.62976,0,8.14,0,5.38,5.949,61.8,1.54916,1.38629,307,21,8.26,3.3881088,0,32.00562,8.3344808
15,130850,0.63796,0,8.14,0,5.38,6.096,84.5,1.49557,1.38629,307,21,10.26,3.4322248,0,32.79648,8.0461666
16,128879,0.62739,0,8.14,0,5.38,5.834,56.5,1.50377,1.38629,307,21,8.47,3.3753582,0,31.38692,8.0902826
17,214272,1.05393,0,8.14,0,5.38,5.935,29.3,1.50377,1.38629,307,21,6.58,5.6701434,0,31.9303,8.0902826
18,126140,0.7842,0,8.14,0,5.38,5.99,81.7,1.44878,1.38629,307,21,14.67,4.218996,0,32.2262,7.7944364
19,154644,0.80271,0,8.14,0,5.38,5.456,36.6,1.33408,1.38629,307,21,11.69,4.3185798,0,29.35328,7.1773504
21,75393,1.25179,0,8.14,0,5.38,5.57,98.1,1.33445,1.38629,307,21,21.02,6.7346302,0,29.9666,7.179341
22,165437,0.85204,0,8.14,0,5.38,5.965,89.2,1.38936,1.38629,307,21,13.83,4.5839752,0,32.0917,7.4747568
23,103773,1.23247,0,8.14,0,5.38,6.142,91.7,1.3805,1.38629,307,21,18.72,6.6306886,0,33.04396,7.42709
24,103103,0.98843,0,8.14,0,5.38,5.813,100,1.40981,1.38629,307,21,19.88,5.3177534,0,31.27394,7.5847778
25,116765,0.75026,0,8.14,0,5.38,5.924,94.1,1.48151,1.38629,307,21,16.3,4.0363988,0,31.87112,7.9705238
26,96638,0.84054,0,8.14,0,5.38,5.599,85.7,1.49394,1.38629,307,21,16.51,4.5221052,0,30.12262,8.0373972
27,125759,0.67191,0,8.14,0,5.38,5.813,90.3,1.54372,1.38629,307,21,14.81,3.6148758,0,31.27394,8.3052136
28,110265,0.95578,0,8.14,0,5.38,6.047,88.8,1.49367,1.38629,307,21,17.28,5.1420964,0,32.53286,8.0359446
30,99468,1.00245,0,8.14,0,5.38,6.674,87.3,1.44433,1.38629,307,21,11.98,5.393181,0,35.90612,7.7704954
31,98896,1.13081,0,8.14,0,5.38,5.713,94.1,1.44291,1.38629,307,21,22.6,6.0837578,0,30.73594,7.7628558
32,142088,1.35472,0,8.14,0,5.38,6.072,100,1.42911,1.38629,307,21,13.04,7.2883936,0,32.66736,7.6886118
33,110380,1.38799,0,8.14,0,5.38,5.95,82,1.38379,1.38629,307,21,27.71,7.4673862,0,32.011,7.4447902
34,67233,1.15172,0,8.14,0,5.38,5.701,95,1.33163,1.38629,307,21,18.35,6.1962536,0,30.67138,7.1641694
35,79812,1.61282,0,8.14,0,5.38,6.096,96.9,1.32436,1.38629,307,21,20.34,8.6769716,0,32.79648,7.1250568
36,129205,0.06417,0,5.96,0,4.99,5.933,68.2,1.21203,1.60944,279,19.2,9.68,0.3202083,0,29.60567,6.0480297
37,118521,0.09744,0,5.96,0,4.99,5.841,61.4,1.21725,1.60944,279,19.2,11.41,0.4862256,0,29.14659,6.0740775
38,163745,0.08014,0,5.96,0,4.99,5.85,41.5,1.36971,1.60944,279,19.2,8.77,0.3998986,0,29.1915,6.8348529
39,164145,0.17505,0,5.96,0,4.99,5.966,30.2,1.34737,1.60944,279,19.2,10.13,0.8734995,0,29.77034,6.7233763
40,296433,0.02763,75,2.95,0,4.28,6.595,21.8,1.6886,1.09861,252,18.3,4.32,0.1182564,0,28.2266,7.227208
41,337249,0.03359,75,2.95,0,4.28,7.024,15.8,1.6886,1.09861,252,18.3,1.98,0.1437652,0,30.06272,7.227208
42,187763,0.12744,0,6.91,0,4.48,6.77,2.9,1.74413,1.09861,233,17.9,4.84,0.5709312,0,30.3296,7.8137024
43,164084,0.1415,0,6.91,0,4.48,6.169,6.6,1.74413,1.09861,233,17.9,5.81,0.63392,0,27.63712,7.8137024
44,175186,0.15936,0,6.91,0,4.48,6.211,6.5,1.74413,1.09861,233,17.9,7.44,0.7139328,0,27.82528,7.8137024
45,130472,0.12269,0,6.91,0,4.48,6.069,40,1.74413,1.09861,233,17.9,9.55,0.5496512,0,27.18912,7.8137024
46,168130,0.17142,0,6.91,0,4.48,5.682,33.8,1.62932,1.09861,233,17.9,10.21,0.7679616,0,25.45536,7.2993536
47,209141,0.18836,0,6.91,0,4.48,5.786,33.3,1.62932,1.09861,233,17.9,14.15,0.8438528,0,25.92128,7.2993536
48,116634,0.22927,0,6.91,0,4.48,6.03,85.5,1.7386,1.09861,233,17.9,18.8,1.0271296,0,27.0144,7.788928
50,121666,0.21977,0,6.91,0,4.48,5.602,62,1.80627,1.09861,233,17.9,16.2,0.9845696,0,25.09696,8.0920896
51,167350,0.08873,21,5.64,0,4.39,5.963,45.7,1.91908,1.38629,243,16.8,13.45,0.3895247,0,26.17757,8.4247612
53,296907,0.0536,21,5.64,0,4.39,6.511,21.1,1.91908,1.38629,243,16.8,5.28,0.235304,0,28.58329,8.4247612
54,164348,0.04981,21,5.64,0,4.39,5.998,21.4,1.91908,1.38629,243,16.8,8.43,0.2186659,0,26.33122,8.4247612
55,116784,0.0136,75,4,0,4.1,5.888,47.6,1.99057,1.09861,469,21.1,14.8,0.05576,0,24.1408,8.161337
56,223170,0.01311,90,1.22,0,4.03,7.249,21.9,2.16293,1.60944,226,17.9,4.81,0.0528333,0,29.21347,8.7166079
57,159790,0.02056,85,0.74,0,4.1,6.383,35.7,2.21785,0.69315,313,17.3,5.77,0.084296,0,26.1703,9.093185
58,169492,0.01432,100,1.32,0,4.11,6.816,40.5,2.11924,1.60944,256,15.1,3.95,0.0588552,0,28.01376,8.7100764
59,160692,0.15445,25,5.13,0,4.53,6.145,29.2,2.05602,2.07944,284,19.7,6.86,0.6996585,0,27.83685,9.3137706
60,152047,0.10328,25,5.13,0,4.53,5.927,47.2,1.93615,2.07944,284,19.7,9.22,0.4678584,0,26.84931,8.7707595
61,126696,0.14932,25,5.13,0,4.53,5.741,66.2,1.9776,2.07944,284,19.7,13.15,0.6764196,0,26.00673,8.958528
62,184485,0.17171,25,5.13,0,4.53,5.966,93.4,1.91964,2.07944,284,19.7,14.44,0.7778463,0,27.02598,8.6959692
63,163654,0.11027,25,5.13,0,4.53,6.456,67.8,1.97762,2.07944,284,19.7,6.73,0.4995231,0,29.24568,8.9586186
64,166111,0.12651,25,5.13,0,4.53,6.762,43.4,2.07705,2.07944,284,19.7,9.5,0.5730903,0,30.63186,9.4090365
66,124562,0.03584,80,3.37,0,3.98,6.29,17.8,1.88881,1.38629,337,16.1,4.67,0.1426432,0,25.0342,7.5174638
67,121809,0.04379,80,3.37,0,3.98,5.787,31.1,1.88881,1.38629,337,16.1,10.24,0.1742842,0,23.03226,7.5174638
68,166838,0.05789,13,6.07,0,4.09,5.878,21.4,1.87149,1.38629,345,18.9,8.1,0.2367701,0,24.04102,7.6543941
69,119344,0.13555,13,6.07,0,4.09,5.594,36.8,1.87149,1.38629,345,18.9,13.09,0.5543995,0,22.87946,7.6543941
71,254258,0.08826,0,10.81,0,4.13,6.417,6.6,1.66531,1.38629,305,19.2,6.72,0.3645138,0,26.50221,6.8777303
72,143988,0.15876,0,10.81,0,4.13,5.961,17.5,1.66531,1.38629,305,19.2,9.88,0.6556788,0,24.61893,6.8777303
