sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
38790622018,2022-10-20T05:35:00Z,84,21,20,43,51,57,0.07368421052631578
38780099474,2022-10-19T05:39:00Z,81,21,16,44,80,56,0.06535141800246609
38768451689,2022-10-18T05:33:30Z,87,22,22,43,96,57,0.06134969325153374
38745559617,2022-10-16T05:19:30Z,75,17,16,42,76,55,0.06385404789053592
38734648403,2022-10-15T05:22:00Z,83,21,19,43,71,54,0.058823529411764705
38721092532,2022-10-14T05:28:30Z,84,19,22,43,22,54,0.0688360450563204
38710435435,2022-10-13T04:58:30Z,85,21,21,43,63,54,0.051833122629582805
38696959722,2022-10-12T05:20:30Z,82,18,22,42,82,54,0.06699147381242387
38683246621,2022-10-11T06:16:30Z,88,21,20,47,79,53,0.06188925081433225
38667932060,2022-10-10T05:39:00Z,85,21,21,43,83,53,0.05816831683168317
38657453475,2022-10-09T06:38:00Z,87,21,23,43,84,53,0.07215332581736189
38649369073,2022-10-08T06:49:30Z,86,21,19,46,92,54,0.061507936507936505
38635378134,2022-10-07T06:19:30Z,84,20,22,42,81,54,0.07563959955506118
38621759601,2022-10-06T05:35:00Z,79,21,15,43,62,52,0.0681551116333725
38597918336,2022-10-04T05:21:30Z,79,21,15,43,78,51,0.07854630715123095
38588175203,2022-10-03T06:14:30Z,86,21,18,47,61,51,0.06680805938494168
38576216970,2022-10-02T07:41:30Z,87,21,21,45,77,52,0.07554296506137866
38564929869,2022-10-01T06:57:30Z,86,21,19,46,89,52,0.07817258883248732
38553322864,2022-09-30T06:20:30Z,81,21,14,46,56,50,0.08289611752360965
38540673550,2022-09-29T06:36:30Z,84,22,19,43,89,50,0.06
38528923498,2022-09-28T05:19:00Z,88,21,22,45,74,50,0.06709677419354838
38517375107,2022-09-27T06:06:30Z,90,22,22,46,98,51,0.0825593395252838
38494551650,2022-09-25T07:16:30Z,86,22,18,46,95,51,0.07679324894514768
38485188687,2022-09-24T07:04:00Z,86,20,20,46,101,51,0.0506872852233677
38471611540,2022-09-23T05:41:30Z,85,21,21,43,84,52,0.07710011507479862
38459386292,2022-09-22T05:30:30Z,82,21,18,43,68,51,0.05714285714285714
38447353905,2022-09-21T06:02:00Z,85,20,23,42,47,52,0.07107843137254902
38433840369,2022-09-20T05:33:00Z,81,18,20,43,67,52,0.049443757725587144
38419917643,2022-09-19T06:10:30Z,85,21,22,42,47,53,0.07733619763694952
38410502801,2022-09-18T07:13:00Z,89,20,23,46,67,54,0.06535269709543569
38398473440,2022-09-17T06:18:30Z,84,21,17,46,82,53,0.0561576354679803
38387497702,2022-09-16T05:45:00Z,86,21,22,43,84,53,0.0776361529548088
38377472892,2022-09-15T05:53:00Z,90,22,20,48,90,54,0.05823068309070549
38366068237,2022-09-14T05:44:30Z,85,20,23,42,39,55,0.07744107744107744
38355338327,2022-09-13T05:50:00Z,84,19,18,47,104,55,0.059800664451827246
38342912509,2022-09-12T05:52:30Z,79,18,22,39,106,55,0.05911949685534591
38330280814,2022-09-11T05:29:00Z,81,20,19,42,34,54,0.06564245810055866
38319551661,2022-09-10T05:38:30Z,87,21,19,47,80,53,0.07240293809024134
38295190956,2022-09-08T05:17:30Z,76,17,20,39,67,53,0.06128133704735376
38284507615,2022-09-07T05:19:30Z,81,19,20,42,68,52,0.06349206349206349
38273172449,2022-09-06T05:10:00Z,79,18,22,39,69,53,0.07838179519595449
38265955313,2022-09-05T07:17:00Z,88,21,22,45,64,54,0.05986509274873524
38253834547,2022-09-04T06:49:30Z,84,19,19,46,63,54,0.0665380906460945
38239891590,2022-09-03T07:02:00Z,92,23,21,48,112,54,0.044131455399061034
38226856387,2022-09-02T06:13:00Z,84,21,18,45,55,53,0.07826982492276004
38216082414,2022-09-01T06:03:00Z,84,20,22,42,75,55,0.06557377049180328
38201088604,2022-08-31T05:41:00Z,84,21,20,43,78,55,0.08411214953271028
38190713730,2022-08-30T05:29:00Z,75,18,17,40,52,54,0.056921086675291076
38177349561,2022-08-29T05:26:30Z,79,19,17,43,59,53,0.05452292441140025
38167615338,2022-08-28T06:55:30Z,86,22,17,47,92,52,0.0734229576008273
38156466353,2022-08-27T06:43:00Z,87,21,19,47,88,52,0.0406871609403255
38134517912,2022-08-25T06:03:00Z,85,21,21,43,53,53,0.05174488567990373
38122321629,2022-08-24T06:18:30Z,75,17,23,35,50,54,0.06735751295336788
38110455375,2022-08-23T05:25:30Z,83,21,20,42,44,54,0.0552423900789177
38099991556,2022-08-22T06:00:00Z,80,21,22,37,45,55,0.058823529411764705
38088809206,2022-08-21T07:11:30Z,82,21,20,41,63,54,0.07357859531772576
38076993243,2022-08-20T07:05:30Z,86,22,18,46,91,54,0.06380857427716849
38065725552,2022-08-19T06:19:00Z,79,20,18,41,68,54,0.0812720848056537
38054262613,2022-08-18T05:35:30Z,83,21,19,43,92,53,0.06270996640537514
38040066175,2022-08-17T05:09:30Z,81,21,17,43,60,52,0.0911300121506683
38028173090,2022-08-16T07:42:30Z,87,22,18,47,99,52,0.0742526518804243
38009881677,2022-08-15T06:44:00Z,87,21,23,43,79,53,0.05669481302774427
38000340741,2022-08-14T07:48:00Z,90,23,21,46,111,52,0.06395851339671564
37987465592,2022-08-13T07:24:30Z,89,21,22,46,78,53,0.07450980392156863
37977276225,2022-08-12T06:57:30Z,77,16,16,45,66,52,0.08571428571428572
37962873665,2022-08-11T06:13:00Z,80,18,16,46,71,52,0.07652533609100311
37949368215,2022-08-10T06:11:00Z,80,18,20,42,79,52,0.06526548672566372
37938399129,2022-08-09T06:06:00Z,82,21,23,38,60,53,0.06518282988871224
37926056388,2022-08-08T06:26:00Z,86,21,18,47,82,53,0.0735444330949949
37915896489,2022-08-07T06:11:30Z,75,21,21,33,50,54,0.10211946050096339
37911529451,2022-08-07T00:39:00Z,64,17,19,28,41,54,0.03910614525139665
37903096050,2022-08-06T05:50:00Z,79,20,18,41,33,53,0.06097560975609756
37892771508,2022-08-05T05:21:00Z,78,19,18,41,56,53,0.04563233376792699
37882604559,2022-08-04T05:26:30Z,86,21,22,43,59,53,0.06590621039290241
37871545214,2022-08-03T05:42:30Z,84,21,20,43,85,53,0.07581227436823104
37860217709,2022-08-02T06:09:00Z,89,21,24,44,77,53,0.05162064825930372
37847123326,2022-08-01T05:22:00Z,85,21,21,43,63,53,0.06598984771573604
37837791169,2022-07-31T07:35:00Z,90,22,21,47,88,53,0.044145873320537425
37825675381,2022-07-30T07:37:30Z,83,17,20,46,58,53,0.056716417910447764
37815190046,2022-07-29T07:08:30Z,80,22,19,39,89,54,0.06530089628681178
37802638274,2022-07-28T05:28:00Z,84,20,21,43,52,54,0.07340553549939831
37790057594,2022-07-27T05:31:30Z,78,15,23,40,47,55,0.060225846925972396
37780162440,2022-07-26T05:39:30Z,90,21,23,46,58,56,0.057385759829968117
37761885151,2022-07-25T06:05:30Z,85,19,20,46,83,55,0.0670926517571885
37738894917,2022-07-23T07:38:00Z,71,16,19,36,81,55,0.09220779220779221
37727610893,2022-07-22T06:55:30Z,81,21,21,39,78,56,0.09224598930481283
37721651839,2022-07-21T06:09:00Z,79,21,15,43,74,54,0.07050528789659224
37699986922,2022-07-20T06:12:30Z,81,21,17,43,55,53,0.07547169811320754
37686839235,2022-07-19T06:26:00Z,85,21,21,43,75,53,0.07917174177831912
37675117569,2022-07-18T05:43:30Z,80,17,21,42,62,53,0.04921968787515006
37663154502,2022-07-17T07:11:30Z,85,20,18,47,94,54,0.08550573514077164
37652905653,2022-07-16T07:08:30Z,85,21,18,46,73,53,0.07061266874350987
37640238935,2022-07-15T06:21:00Z,82,20,20,42,121,53,0.06696935300794551
37629585096,2022-07-14T05:53:00Z,82,21,19,42,82,53,0.05725699067909454
37617691358,2022-07-13T06:15:30Z,79,20,17,42,61,52,0.09727164887307237
37605066630,2022-07-12T06:07:30Z,84,21,20,43,66,52,0.04315659679408138
37594210049,2022-07-11T05:53:30Z,84,20,21,43,58,53,0.06618531889290012
37582386001,2022-07-10T06:59:30Z,80,20,21,39,51,54,0.06109324758842444
37572009396,2022-07-09T07:34:30Z,82,20,20,42,88,54,0.08040770101925254
37559755197,2022-07-08T05:36:30Z,75,22,17,36,88,53,0.07607192254495158
37548691200,2022-07-07T07:33:00Z,91,21,23,47,84,54,0.06760847628657922
37537236787,2022-07-06T06:29:00Z,90,22,21,47,93,54,0.07742639040348964
37523258352,2022-07-05T05:35:30Z,73,20,13,40,60,52,0.06928104575163399
37511329575,2022-07-04T05:19:00Z,76,18,17,41,101,51,0.06614785992217899
37500818365,2022-07-03T07:22:30Z,88,21,20,47,97,52,0.056533827618164965
37500818363,2022-07-02T06:27:30Z,86,22,17,47,87,52,0.06562847608453838
37475604436,2022-07-01T05:43:30Z,79,21,17,41,64,51,0.09445100354191263
37450900981,2022-06-29T06:10:00Z,86,22,20,44,107,51,0.05793742757821553
37438382732,2022-06-28T05:31:30Z,82,21,19,42,44,51,0.06593406593406594
37426352368,2022-06-27T05:38:00Z,86,21,22,43,85,52,0.066746126340882
37415951778,2022-06-26T07:06:30Z,86,21,18,47,85,52,0.06067172264355363
37403760010,2022-06-25T06:41:30Z,86,21,18,47,61,52,0.07309322033898305
37392338537,2022-06-24T05:47:00Z,86,21,23,42,73,53,0.06287069988137604
37378551544,2022-06-23T06:08:30Z,82,21,18,43,62,52,0.05827505827505827
37366550972,2022-06-22T05:43:30Z,82,20,19,43,40,52,0.0681044267877412
37353540380,2022-06-21T04:41:30Z,72,15,20,37,41,52,0.06657420249653259
37334434797,2022-06-19T06:28:30Z,86,18,21,47,69,53,0.0508646998982706
37334434795,2022-06-18T08:03:30Z,90,21,23,46,61,53,0.0598438855160451
37334434793,2022-06-17T07:17:00Z,86,20,20,46,52,52,0.07897545357524013
37334434792,2022-06-16T05:42:00Z,82,21,17,44,86,52,0.04744525547445255
37290538620,2022-06-15T05:41:00Z,85,21,21,43,57,53,0.07927519818799547
37270506344,2022-06-14T05:31:00Z,86,21,22,43,74,54,0.06594724220623502
37256459436,2022-06-13T06:18:30Z,78,21,15,42,77,52,0.07039106145251396
37244774889,2022-06-12T07:01:30Z,85,21,17,47,83,52,0.0753221010901883
37233563083,2022-06-11T07:13:00Z,85,21,21,43,83,52,0.058385093167701865
37220897407,2022-06-10T05:34:30Z,87,21,24,42,73,54,0.06049382716049383
37210417056,2022-06-09T06:04:30Z,78,20,18,40,61,54,0.07170294494238157
37192505543,2022-06-08T05:24:30Z,85,22,19,44,95,54,0.0648508430609598
37178253258,2022-06-07T05:09:30Z,75,17,19,39,63,54,0.07044025157232704
37166266931,2022-06-06T05:40:30Z,78,21,16,41,66,53,0.08505997818974918
37154018691,2022-06-05T05:57:30Z,85,21,18,46,62,53,0.0784729586426299
37131463287,2022-06-03T06:00:00Z,90,21,21,48,52,55,0.060066740823136816
37120365188,2022-06-02T05:49:00Z,80,19,17,44,94,54,0.06039488966318235
37109959651,2022-06-01T06:01:00Z,80,23,15,42,117,53,0.07633587786259542
37094447024,2022-05-31T05:37:00Z,86,21,23,42,58,54,0.06257378984651712
37081354964,2022-05-30T05:58:30Z,81,18,17,46,79,54,0.061637534498620056
37069994387,2022-05-29T07:03:00Z,81,21,14,46,111,52,0.07575757575757576
37056556819,2022-05-28T06:01:30Z,87,19,22,46,69,53,0.06374881065651761
37044940444,2022-05-27T05:36:00Z,72,18,16,38,59,52,0.08536585365853659
37032242147,2022-05-26T06:00:00Z,85,21,17,47,76,51,0.05837004405286344
37020140261,2022-05-25T06:00:30Z,78,21,14,43,56,50,0.07981220657276995
37011207435,2022-05-24T06:05:00Z,80,21,17,42,67,50,0.08641975308641975
36995083582,2022-05-23T05:39:00Z,88,21,21,46,99,50,0.06792058516196448
36981378913,2022-05-22T05:33:30Z,82,20,19,43,62,51,0.07450523864959255
36972924619,2022-05-21T06:35:00Z,82,19,17,46,79,51,0.06203995793901157
36959296587,2022-05-20T05:49:00Z,85,21,19,45,58,51,0.055627425614489
36945311116,2022-05-19T06:00:00Z,86,23,20,43,124,52,0.06993865030674846
36930132913,2022-05-18T05:48:00Z,83,22,18,43,90,52,0.04817518248175182
36918051754,2022-05-17T05:40:00Z,86,21,22,43,75,53,0.05909617612977984
36904512376,2022-05-16T05:42:00Z,83,20,20,43,63,54,0.06103286384976526
36896877726,2022-05-15T06:35:30Z,89,22,21,46,100,55,0.06811451135241856
36886620376,2022-05-14T06:12:30Z,75,16,13,46,64,53,0.08535300316122234
36867618776,2022-05-13T05:45:00Z,77,20,14,43,53,52,0.04446978335233751
36845009761,2022-05-11T05:48:30Z,85,21,21,43,83,54,0.0592503022974607
36831267405,2022-05-10T06:04:00Z,81,21,17,43,66,53,0.0510783200908059
36816268271,2022-05-09T05:45:30Z,79,21,15,43,50,52,0.05973715651135006
36805118930,2022-05-08T05:50:00Z,82,20,14,48,59,51,0.08044692737430167
36792656625,2022-05-07T05:30:30Z,85,21,21,43,62,52,0.06408544726301736
36783181420,2022-05-06T05:57:30Z,76,20,19,37,36,52,0.10552763819095477
36770895261,2022-05-05T06:05:00Z,91,21,23,47,64,54,0.057608695652173914
36757319133,2022-05-04T06:13:30Z,81,19,21,41,72,54,0.0684931506849315
36745269159,2022-05-03T06:37:00Z,85,21,17,47,59,54,0.07254901960784314
36731705375,2022-05-02T06:18:30Z,73,18,12,43,114,52,0.0861878453038674
36719722126,2022-05-01T06:34:30Z,81,21,13,47,68,50,0.08588351431391905
36707189059,2022-04-30T07:06:00Z,64,14,19,31,36,50,0.10553633217993079
36698720880,2022-04-29T06:03:30Z,82,21,17,44,80,49,0.06659012629161883
36681402867,2022-04-28T05:58:00Z,83,19,22,42,50,51,0.062326869806094184
36667325446,2022-04-27T06:00:30Z,87,21,21,45,76,51,0.045714285714285714
36653666593,2022-04-26T06:04:30Z,70,16,18,36,32,52,0.06998444790046657
36639919997,2022-04-25T06:04:30Z,76,20,20,36,34,52,0.050761421319796954
36626538340,2022-04-24T06:41:00Z,80,21,13,46,70,50,0.08036622583926754
36615153392,2022-04-23T06:14:30Z,80,21,20,39,75,51,0.10367892976588629
36603127678,2022-04-22T06:09:00Z,84,21,20,43,70,51,0.05205811138014528
36590996944,2022-04-21T05:59:00Z,75,20,14,41,36,50,0.11604095563139932
36579691026,2022-04-20T06:19:30Z,79,18,19,42,45,50,0.04426787741203178
36566505704,2022-04-19T06:08:30Z,67,16,16,35,60,49,0.0706436420722135
