date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr,
08/01/2018,Power Snatch 3x2,Power Snatch for load: #1: 2 reps #2: 2 reps #3: 2 reps,165,165,Load,Power Snatch,"[{""load"":135,""success"":true},{""load"":165,""success"":true},{""load"":185,""success"":false}]",missed 1X 185,RX,,
08/01/2018,Front Squat 3x3,Front Squat for load: #1: 3 reps #2: 3 reps #3: 3 reps,245,245,Load,Front Squat,"[{""load"":245,""success"":true},{""load"":245,""success"":true},{""load"":245,""success"":true}]",,RX,,
08/01/2018,Power Clean & Jerk 3x2,Power Clean & Jerk for load: #1: 2 reps #2: 2 reps #3: 2 reps,225,225,Load,Power Clean & Jerk,"[{""load"":185,""success"":true},{""load"":225,""success"":true},{""load"":225,""success"":true}]",,RX,,
08/01/2018,Front Squat 3x3,Front Squat for load: #1: 3 reps #2: 3 reps #3: 3 reps,245,245,Load,Front Squat,"[{""load"":245,""success"":true},{""load"":245,""success"":true},{""load"":245,""success"":true}]",,RX,,
08/01/2018,Front Squat 3x3,Front Squat for load: #1: 3 reps #2: 3 reps #3: 3 reps,245,245,Load,Front Squat,"[{""load"":245,""success"":true},{""load"":245,""success"":true},{""load"":245,""success"":true}]",,RX,,
08/01/2018,8-1,8:00 Time Cap800m run8 HSPU8 WB8 TTB8 DL 315/205,365,6:05,Time,,"[{""mins"":6,""secs"":5}]","came off wall on 7th rep HSPU, 4:05 800m",RX,,
12/04/2018,The Chief,"Max rounds in 3 minutes of:• 135 pound Power cleans, 3 reps• 6 Push-ups• 9 SquatsRest 1 minute. Repeat for a total of 5 cycles.",6,6,Rounds + Reps,,"[{""reps"":3,""rnds"":5},{""reps"":6,""rnds"":5},{""reps"":9,""rnds"":5},{""reps"":0,""rnds"":6},{""reps"":6,""rnds"":5}]",,RX,,
02/22/2019,Open 19.1,AMRAP 15: 19 Wallballs (20/14) 19 Calorie Row,211,211,Reps,,"[{""reps"":211}]","5 Rds + 19 WBs + 2-CalsUB WBs, 700+ Cal/Hr avg Rower",RX,PR,
03/01/2019,Open 19.2,"Beginning on an 8-minute clock, complete as many reps as possible of:  • 25 Toes to Bar   • 50 Double Unders   • 15 Squat Cleans (135/85)  • 25 Toes to Bar   • 50 Double Unders   • 13 Squat Cleans (185/115)If completed before 8 minutes, add 4 minutes to the clock and proceed to:  • 25 Toes to Bar   • 50 Double Unders   • 11 Squat Cleans (225/145)If completed before 12 minutes, add 4 minutes to the clock and proceed to:  • 25 Toes to Bar   • 50 Double Unders   • 9 Squat Cleans (275/175)If completed before 16 minutes, add 4 minutes to the clock and proceed to:  • 25 Toes to Bar   • 50 Double Unders   • 7 Squat Cleans (315/205)Stop at 20 Minutes.",171,171,Reps,,"[{""reps"":171}]","Aerobic capacity needs work, need snow to go away first...redo this WOD in late spring/3 mo after had time to train.",RX,PR,
03/03/2019,Strict Press,Build to a Heavy Set of 3,135,135,Load,Shoulder Press,"[{""load"":135,""success"":true}]",E1:3095x3115x3125x3135x3,RX,,
03/03/2019,“Black Eye”,5 Rounds: 10 Strict Press (75/55) 20 Front Rack Reverse Lunges (75/55),600,10:00,Time,,"[{""mins"":10,""secs"":0}]",finished w/ 2 x 500m row 25-26 Cal ea, 600 Cal/hr avg,RX,
03/06/2019,Overhead Squat,Build to a Heavy Single,145,145,Load,Overhead Squat,"[{""load"":145,""success"":true}]",65% for 3X,SCALED,,
03/08/2019,Handstand Push-ups (Strict): Max Reps,Handstand Push-ups (Strict): Max Reps,18,18,Reps,,"[{""reps"":18}]",19.3, 5+3+2+1+1+1+1+1+1+2. Try a 3+2 rep scheme see if I can prolong hitting the wall,RX,PR
